trajectory,time,lon,lat,status,start,nearest_beach,distance_m
1721,2025-12-16 14:49:16.786749,14.556815,35.822758,1.0,2025-12-15 17:19:16.786749,Delimara,1123.7125907934646
1725,2025-12-16 13:49:16.786749,14.557895,35.819466,1.0,2025-12-15 17:19:16.786749,Delimara,1480.8159234367663
1732,2025-12-16 13:34:16.786749,14.557927,35.81945,1.0,2025-12-15 17:19:16.786749,Delimara,1483.7420146038437
1737,2025-12-16 14:04:16.786749,14.555382,35.824646,1.0,2025-12-15 17:19:16.786749,Delimara,879.6277652384159
1739,2025-12-16 13:49:16.786749,14.557899,35.820057,1.0,2025-12-15 17:19:16.786749,Delimara,1425.3587452280508
1741,2025-12-16 13:49:16.786749,14.557698,35.821114,1.0,2025-12-15 17:19:16.786749,Delimara,1317.80625973473
1760,2025-12-16 14:49:16.786749,14.55611,35.823483,1.0,2025-12-15 17:19:16.786749,Delimara,1021.9244677243242
1768,2025-12-16 14:19:16.786749,14.555391,35.825512,1.0,2025-12-15 17:19:16.786749,Delimara,805.3691528871598
1776,2025-12-16 17:04:16.786749,14.555489,35.826725,1.0,2025-12-15 17:19:16.786749,Delimara,715.4043920330168
1778,2025-12-16 14:19:16.786749,14.557568,35.821075,1.0,2025-12-15 17:19:16.786749,Delimara,1314.8092676201263
1780,2025-12-16 16:19:16.786749,14.555978,35.827183,1.0,2025-12-15 17:19:16.786749,Delimara,717.5731771757247
1782,2025-12-16 14:34:16.786749,14.557276,35.82138,1.0,2025-12-15 17:19:16.786749,Delimara,1272.3300333057941
1784,2025-12-16 15:04:16.786749,14.555518,35.826744,1.0,2025-12-15 17:19:16.786749,Delimara,715.9860582585943
1788,2025-12-16 14:49:16.786749,14.557081,35.82153,1.0,2025-12-15 17:19:16.786749,Delimara,1249.0711078455474
1793,2025-12-16 14:04:16.786749,14.555969,35.823517,1.0,2025-12-15 17:19:16.786749,Delimara,1011.5562908829519
1795,2025-12-16 15:19:16.786749,14.555387,35.82646,1.0,2025-12-15 17:19:16.786749,Delimara,728.5397870515421
1797,2025-12-16 14:19:16.786749,14.557801,35.820896,1.0,2025-12-15 17:19:16.786749,Delimara,1342.8591768306267
1815,2025-12-16 14:19:16.786749,14.555345,35.824696,1.0,2025-12-15 17:19:16.786749,Delimara,873.2448966706019
1819,2025-12-16 15:34:16.786749,14.555385,35.826283,1.0,2025-12-15 17:19:16.786749,Delimara,742.3485697856753
1824,2025-12-16 14:19:16.786749,14.555356,35.82462,1.0,2025-12-15 17:19:16.786749,Delimara,880.6283354532097
1831,2025-12-16 14:49:16.786749,14.556086,35.823513,1.0,2025-12-15 17:19:16.786749,Delimara,1017.8923967763897
1843,2025-12-16 16:49:16.786749,14.555641,35.826797,1.0,2025-12-15 17:19:16.786749,Delimara,720.44744048118
1844,2025-12-16 14:19:16.786749,14.557122,35.821735,1.0,2025-12-15 17:19:16.786749,Delimara,1232.1133553153145
1849,2025-12-16 13:49:16.786749,14.557124,35.821606,1.0,2025-12-15 17:19:16.786749,Delimara,1244.131136784666
1866,2025-12-16 14:49:16.786749,14.555759,35.82702,1.0,2025-12-15 17:19:16.786749,Delimara,713.0243115889375
1876,2025-12-16 14:49:16.786749,14.555994,35.82344,1.0,2025-12-15 17:19:16.786749,Delimara,1019.7379115946532
1879,2025-12-16 14:04:16.786749,14.556992,35.82201,1.0,2025-12-15 17:19:16.786749,Delimara,1200.4393317838885
1880,2025-12-16 14:19:16.786749,14.555357,35.825184,1.0,2025-12-15 17:19:16.786749,Delimara,831.2694881694474
1885,2025-12-16 16:04:16.786749,14.555529,35.82671,1.0,2025-12-15 17:19:16.786749,Delimara,719.2203719419574
1886,2025-12-16 14:34:16.786749,14.555398,35.825615,1.0,2025-12-15 17:19:16.786749,Delimara,797.1605950230523
1887,2025-12-16 14:34:16.786749,14.555347,35.824596,1.0,2025-12-15 17:19:16.786749,Delimara,882.2109007809377
1902,2025-12-16 14:19:16.786749,14.555591,35.823875,1.0,2025-12-15 17:19:16.786749,Delimara,959.7292482298765
1908,2025-12-16 14:19:16.786749,14.555434,35.824776,1.0,2025-12-15 17:19:16.786749,Delimara,871.0144046464593
1909,2025-12-16 14:04:16.786749,14.556689,35.822975,1.0,2025-12-15 17:19:16.786749,Delimara,1097.651816072865
1911,2025-12-16 16:19:16.786749,14.5555105,35.826748,1.0,2025-12-15 17:19:16.786749,Delimara,715.1915439932253
1916,2025-12-16 14:04:16.786749,14.557634,35.820946,1.0,2025-12-15 17:19:16.786749,Delimara,1330.0414272080945
1921,2025-12-16 15:19:16.786749,14.556059,35.827316,1.0,2025-12-15 17:19:16.786749,Delimara,714.8397229337348
1923,2025-12-16 14:34:16.786749,14.555346,35.825428,1.0,2025-12-15 17:19:16.786749,Delimara,809.7813954611688
1926,2025-12-16 16:04:16.786749,14.555803,35.82698,1.0,2025-12-15 17:19:16.786749,Delimara,718.7554353850869
1928,2025-12-16 14:19:16.786749,14.557641,35.82106,1.0,2025-12-15 17:19:16.786749,Delimara,1319.8465940766116
1931,2025-12-16 14:34:16.786749,14.556995,35.821846,1.0,2025-12-15 17:19:16.786749,Delimara,1215.6632293602795
1934,2025-12-16 14:19:16.786749,14.555419,35.825573,1.0,2025-12-15 17:19:16.786749,Delimara,801.8929427801473
1937,2025-12-16 13:49:16.786749,14.5575285,35.821083,1.0,2025-12-15 17:19:16.786749,Delimara,1312.179585510492
1944,2025-12-16 14:19:16.786749,14.556992,35.82197,1.0,2025-12-15 17:19:16.786749,Delimara,1203.9285162073752
1947,2025-12-16 15:49:16.786749,14.555523,35.826733,1.0,2025-12-15 17:19:16.786749,Delimara,717.1490456872085
1951,2025-12-16 14:19:16.786749,14.557062,35.82186,1.0,2025-12-15 17:19:16.786749,Delimara,1217.5815786172486
1955,2025-12-16 14:34:16.786749,14.5564785,35.82301,1.0,2025-12-15 17:19:16.786749,Delimara,1083.5839013590594
1961,2025-12-16 14:19:16.786749,14.5578785,35.82078,1.0,2025-12-15 17:19:16.786749,Delimara,1357.1975923553741
1970,2025-12-16 14:04:16.786749,14.556302,35.823387,1.0,2025-12-15 17:19:16.786749,Delimara,1040.4750869299128
1971,2025-12-16 14:19:16.786749,14.555447,35.82471,1.0,2025-12-15 17:19:16.786749,Delimara,877.385961614257
1979,2025-12-16 13:49:16.786749,14.557218,35.82157,1.0,2025-12-15 17:19:16.786749,Delimara,1251.9053134319277
1987,2025-12-16 14:19:16.786749,14.557306,35.821407,1.0,2025-12-15 17:19:16.786749,Delimara,1271.3730462311587
1988,2025-12-16 15:49:16.786749,14.555775,35.82701,1.0,2025-12-15 17:19:16.786749,Delimara,714.6277005445518
1993,2025-12-16 14:34:16.786749,14.556318,35.823097,1.0,2025-12-15 17:19:16.786749,Delimara,1067.4174557564215
1997,2025-12-16 14:04:16.786749,14.5570755,35.82191,1.0,2025-12-15 17:19:16.786749,Delimara,1213.7122583379783
1998,2025-12-16 13:49:16.786749,14.557081,35.822567,1.0,2025-12-15 17:19:16.786749,Delimara,1154.7456349201714
1999,2025-12-16 15:49:16.786749,14.555397,35.826546,1.0,2025-12-15 17:19:16.786749,Delimara,722.7969447591281
